Name,IF,IFDenseRank,IFMinRank
oper,14992.14393939394,1.0,1.0
approach,14918.723484848484,2.0,2.0
method,13537.301767676767,3.0,3.0
time,12950.699999999999,4.0,4.0
condit,12411.791831357048,5.0,5.0
control,11715.389986824768,6.0,6.0
schedul,11188.62258953168,7.0,7.0
techniqu,11109.5,8.0,8.0
repres,9683.641873278237,9.0,9.0
path,9623.131313131313,10.0,10.0
result,9593.039525691698,11.0,11.0
code,9585.185185185186,12.0,12.0
solut,9406.457300275482,13.0,13.0
problem,9215.19375573921,14.0,14.0
code-motion-prune,9126.002525252525,15.0,15.0
execut,8867.07438016529,16.0,16.0
flow,8779.030303030304,17.0,17.0
support,8555.130434782608,18.0,18.0
limit,8554.802371541504,19.0,19.0
optim,8359.20202020202,20.0,20.0
data,8075.691699604744,21.0,21.0
gener,7835.970819304152,22.0,22.0
form,7702.782369146006,23.0,23.0
call,7557.59090909091,24.0,24.0
state,7490.724637681158,25.0,25.0
formul,7184.70523415978,26.0,26.0
heurist,7178.116883116883,27.0,27.0
reduct,7130.096681096682,28.0,28.0
number,7120.586776859504,29.0,29.0
appli,7082.954545454545,30.0,30.0
resourc,7059.584940312214,31.0,31.0
present,6983.957351290684,32.0,32.0
section,6908.732954545455,33.0,33.0
cdfg,6664.1707988980725,34.0,34.0
construct,6648.5,35.0,35.0
larger-search-space,6631.4669421487615,36.0,36.0
global,6587.311111111111,37.0,37.0
prioriti,6584.015948963318,38.0,38.0
parallel,6547.998737373737,39.0,39.0
search,6355.84090909091,40.0,40.0
select,6348.238636363637,41.0,41.0
constraint,6339.19191919192,42.0,42.0
function,6206.029384756658,43.0,43.0
list-schedul,6153.939393939394,44.0,44.0
avail,6143.304347826086,45.0,45.0
guard,6102.3703703703695,46.0,46.0
motion,6049.275482093663,47.0,47.0
fast,6037.386363636363,48.0,48.0
motiv,6031.488636363637,49.0,49.0
exploit-parallel,6013.765480895915,50.0,50.0
allow,5996.219008264464,51.0,51.0
depend,5913.048668503215,52.0,52.0
graph,5840.30303030303,53.0,53.0
high-level-synthesi,5802.305274971941,54.0,54.0
exist,5761.362718089991,55.0,55.0
defin,5752.938016528926,56.0,56.0
path-base-schedul,5750.977272727273,57.0,57.0
independ,5743.757575757576,58.0,58.0
code-duplic,5738.522727272728,59.0,59.0
basic-block-schedul,5625.7851239669435,60.0,60.0
optim-problem,5617.284664830119,61.0,61.0
oper-basic-block,5616.482323232323,62.0,62.0
effici,5594.258953168045,63.0,63.0
explor,5474.232323232323,64.0,64.0
paper,5454.793388429752,65.0,65.0
show,5447.921717171717,66.0,66.0
block,5438.238636363637,67.0,67.0
space,5436.19416386083,68.0,68.0
suggest,5383.202479338844,69.0,69.0
miss,5321.515151515152,70.0,70.0
complet,5315.922865013775,71.0,71.0
insid,5229.356749311295,72.0,72.0
origin,5223.313570487484,73.0,73.0
encod,5194.123106060606,74.0,74.0
subproblem,5190.632034632034,75.0,75.0
algorithm,5141.59090909091,76.0,76.0
node-repres,5139.454545454545,77.0,77.0
interv,5106.984848484849,78.0,78.0
underli,5069.532467532467,79.0,79.0
instanc,5068.828282828284,80.0,80.0
domain,5030.844155844156,81.0,81.0
branch,5020.4278074866315,82.0,82.0
iter,4958.474747474747,83.0,83.0
take,4952.818181818182,84.0,84.0
resourc-constrain,4951.9889807162535,85.0,85.0
constraint-impos,4936.299465240641,86.0,86.0
altern,4931.416666666666,87.0,87.0
found,4883.051767676767,88.0,88.0
specul-execut-allow,4874.757575757575,89.0,89.0
model,4848.85026737968,90.0,90.0
enclos,4840.668449197861,91.0,91.0
valu,4825.616161616161,92.0,92.0
order,4755.151515151515,93.0,93.0
cope,4741.666666666666,94.0,94.0
presenc,4723.048748353096,95.0,95.0
summar,4717.694805194806,96.0,96.0
fact,4708.5,97.0,97.0
share,4707.798418972332,98.0,98.0
condit-vector-list,4686.245454545455,99.0,99.0
basic-block-boundari,4663.393939393939,100.0,100.0
valid,4658.606060606061,101.0,101.0
cycl,4635.0,102.0,102.0
lead,4623.636363636364,103.0,103.0
order-oper,4597.684210526315,104.0,104.0
condit-oper,4558.866666666667,105.0,105.0
advanc,4542.417929292929,106.0,106.0
exclus,4537.765480895916,107.0,107.0
mutual,4537.765480895916,107.0,107.0
propos,4526.052525252526,108.0,109.0
figur,4510.714285714286,109.0,110.0
descript-figur,4509.558441558442,110.0,111.0
basic-block-basic,4503.051948051948,111.0,112.0
behavior-descript,4470.252525252526,112.0,113.0
phase,4465.481481481481,113.0,114.0
search-time,4444.636363636364,114.0,115.0
list,4438.492822966507,115.0,116.0
earli,4397.0370370370365,116.0,117.0
oper-execut,4389.921717171717,117.0,118.0
optim-solut-search,4381.9461279461275,118.0,119.0
input-output,4381.848484848485,119.0,120.0
code-motion-account,4365.80303030303,120.0,121.0
satisfi,4357.134986225895,121.0,122.0
exact,4327.8703703703695,122.0,123.0
remain,4313.527548209367,123.0,124.0
duplic,4312.890909090909,124.0,125.0
move,4310.532828282828,125.0,126.0
choic,4269.832535885167,126.0,127.0
partial,4230.60606060606,127.0,128.0
definit,4181.371900826446,128.0,129.0
graph-direct-graph,4181.371900826446,128.0,129.0
schedul-condit,4171.5544332211,129.0,131.0
cost,4165.8677685950415,130.0,132.0
bbcg,4163.818181818182,131.0,133.0
node,4161.4049586776855,132.0,134.0
path-bbcg,4152.797061524334,133.0,135.0
term-schedul-length,4151.64758698092,134.0,136.0
hand,4112.888888888889,135.0,137.0
main,4102.609427609427,136.0,138.0
save,4085.1948051948057,137.0,139.0
execut-instanc,4015.4159779614324,138.0,140.0
symbol,3975.083333333333,139.0,141.0
releas,3964.268774703557,140.0,142.0
fix-order,3964.090909090909,141.0,143.0
prune,3952.9966329966323,142.0,144.0
causal,3949.95670995671,143.0,145.0
condit-execut,3946.8787878787875,144.0,146.0
reduc,3936.4545454545455,145.0,147.0
merg-node,3919.1428571428564,146.0,148.0
possibl,3913.2042160737815,147.0,149.0
tackl,3902.9803921568623,148.0,150.0
notion,3901.8063241106715,149.0,151.0
improv,3883.478260869565,150.0,152.0
reorder,3861.3596837944665,151.0,153.0
induc,3834.833333333333,152.0,154.0
evalu,3824.573002754821,153.0,155.0
code-motion-violat,3824.573002754821,153.0,155.0
tree-base-schedul,3823.4795783926215,154.0,157.0
step,3790.353994490358,155.0,158.0
