Name,IF,IFDenseRank,IFMinRank
point,55223.364560439564,1.0,1.0
linear,53006.709467455636,2.0,2.0
program,48355.627564102564,3.0,3.0
comput,46099.0,4.0,4.0
databas,40618.133156498676,5.0,5.0
variabl,37614.60083160083,6.0,6.0
approach,36106.072222222225,7.0,7.0
obtain,36006.55882352941,8.0,8.0
error,35506.37239819005,9.0,9.0
number,35306.13100961538,10.0,10.0
note,34994.7989010989,11.0,11.0
minim,34814.9263502455,12.0,12.0
test,34072.15278514589,13.0,13.0
featur,32815.95656108598,14.0,14.0
satisfi,32438.348440748447,15.0,15.0
function,32365.460065466446,16.0,16.0
problem,32198.065562130178,17.0,17.0
assign,32184.483692307695,18.0,18.0
represent,32108.854437869828,19.0,19.0
quadrat,32092.465811965812,20.0,20.0
subject,31998.328125,21.0,21.0
result,31407.366666666665,22.0,22.0
lead,31034.48024948025,23.0,23.0
defin,30699.364743589744,24.0,24.0
solut,30634.153846153848,25.0,25.0
converg,30588.0,26.0,26.0
propos,30407.12041420119,27.0,27.0
vector,30239.278170478177,28.0,28.0
robust,30197.524116424116,29.0,29.0
solv,29750.65400981997,30.0,30.0
determin,29581.371428571427,31.0,31.0
applic,29553.235917159764,32.0,32.0
algorithm,29354.80094674556,33.0,33.0
wpbc,28513.77525641026,34.0,34.0
perturb,28441.74375,35.0,35.0
gener,28413.2150887574,36.0,36.0
model,28375.694082840237,37.0,37.0
optim,28180.227278106508,38.0,38.0
order,27927.980769230766,39.0,39.0
cluster,27899.847573964496,40.0,40.0
inequ,27863.36284023669,41.0,41.0
condit,27828.396581196583,42.0,42.0
train,27716.81379310345,43.0,43.0
minim-sum,27690.07282051282,44.0,44.0
system,27618.03905325444,45.0,45.0
distanc,27581.14615384615,46.0,46.0
iter,27412.61336032389,47.0,47.0
norm,27389.1824852071,48.0,48.0
fast,27297.49112426036,49.0,49.0
theoret,27218.86686390533,50.0,50.0
exist,27126.856275303642,51.0,51.0
base,27083.776518218623,52.0,52.0
fundament,26979.419230769232,53.0,53.0
learn,26966.131124260362,54.0,54.0
compon,26952.373158756134,55.0,55.0
method,26916.178816568052,56.0,56.0
constraint,26914.635550935556,57.0,57.0
problem-consid-paper,26896.279720279723,58.0,58.0
make,26746.451063829783,59.0,59.0
tool,26578.664253393665,60.0,60.0
simpl,26469.479289940828,61.0,61.0
formul,26330.407484407486,62.0,62.0
approxim,26265.909171597636,63.0,63.0
data,26221.04733727811,64.0,64.0
minimum,26076.96752136752,65.0,65.0
state,25933.535207100595,66.0,66.0
statist,25846.584615384618,67.0,67.0
wisconsin-prognost-breast,25822.707692307697,68.0,68.0
network,25774.349112426033,69.0,69.0
theori,25477.56094674556,70.0,70.0
real,25409.395692307695,71.0,71.0
finit,25341.47897435897,72.0,72.0
convex,25276.890532544377,73.0,73.0
effect,25222.905944055943,74.0,74.0
step,25026.208906882584,75.0,75.0
least,24934.804378698227,76.0,76.0
