Name,IF,IFDenseRank,IFMinRank
process,83008.80865173052,1.0,1.0
system,75498.56405569543,2.0,2.0
calculu,74510.35603089591,3.0,3.0
calculu-broadcast-system,74267.90040906436,4.0,4.0
express,70663.20084930434,5.0,5.0
implement,69520.03123528947,6.0,6.0
commun,62293.16592126131,7.0,7.0
oper,58744.00579102414,8.0,8.0
broadcast,57068.721319782504,9.0,9.0
messag,56397.40119381619,10.0,10.0
function,56103.634235088684,11.0,11.0
paper,53289.534818103435,12.0,12.0
develop,51532.53309252574,13.0,13.0
primit,50438.59234082986,14.0,14.0
requir,47496.49217924656,15.0,15.0
construct,46787.15730653541,16.0,16.0
provid,45933.08947724321,17.0,17.0
gener,44895.339959694335,18.0,18.0
object,44477.695234868064,19.0,19.0
figur,44053.020445790804,20.0,20.0
formal,42872.27486245189,21.0,21.0
present,42553.54227240883,22.0,22.0
encod,42300.78931439155,23.0,23.0
languag,42233.21918099667,24.0,24.0
local,42204.68956559201,25.0,25.0
basic,41869.86313779767,26.0,26.0
transact,40804.35897059111,27.0,27.0
mobil,40619.37434439546,28.0,28.0
dene,40548.14030670972,29.0,29.0
number,40390.18020422628,30.0,30.0
ethernet,40032.77040232247,31.0,31.0
propos,39924.44150509195,32.0,32.0
denit,39362.28260740178,33.0,33.0
full,39279.56993612439,34.0,34.0
choc,39235.33988574762,35.0,35.0
term,39161.03764515197,36.0,36.0
partit,38494.04669658412,37.0,37.0
prole,37968.364005719835,38.0,38.0
experi,37949.93244755775,39.0,39.0
protocol,37468.49626128575,40.0,40.0
show,37064.60107343284,41.0,41.0
theori,36944.30474864608,42.0,42.0
higherord,36408.357695232655,43.0,43.0
equival,36335.6654946418,44.0,44.0
calculi,36113.91023024672,45.0,45.0
network,35865.127279822475,46.0,46.0
underli-languag,35399.69855625974,47.0,47.0
observ,35294.43873253719,48.0,48.0
polymorph,34722.48409321895,49.0,49.0
model,34493.654698750826,50.0,50.0
assum,34058.93249769372,51.0,51.0
mobil-process,33943.21370291863,52.0,52.0
support,33486.65428920104,53.0,53.0
work,33223.766886386395,54.0,54.0
simpl,32964.656205145504,55.0,55.0
discuss,32926.86282634612,56.0,56.0
result,32922.54490371527,57.0,57.0
function-program-languag,32737.62338772076,58.0,58.0
pointtopoint-versu-broadcast,32737.62338772076,58.0,58.0
prove-congruenc-bisimul,32737.62338772076,58.0,58.0
choic,32539.945305200257,59.0,61.0
mobil-ambient,32479.649050301083,60.0,62.0
valu,32081.267058559377,61.0,63.0
receiv,32016.718870327226,62.0,64.0
calculu-higher-order,31974.524092215343,63.0,65.0
notion-comput-monad,31818.481550734345,64.0,66.0
commun-mobil-system,31818.481550734345,64.0,66.0
mean,31680.441167176596,65.0,68.0
notion,31121.83924460304,66.0,69.0
item,31045.140939229073,67.0,70.0
proof,30751.203581654947,68.0,71.0
firstord,30432.85722512523,69.0,72.0
comput-scienc,30432.85722512523,69.0,72.0
algebra,30432.85722512523,69.0,72.0
cham,30432.85722512523,69.0,72.0
paradigm,30432.85722512523,69.0,72.0
eugster,30432.85722512523,69.0,72.0
commun-concurr,30432.85722512523,69.0,72.0
januari,30432.85722512523,69.0,72.0
concept,30432.85722512523,69.0,72.0
joincalculu,30432.85722512523,69.0,72.0
picalculu,30432.85722512523,69.0,72.0
april,30432.85722512523,69.0,72.0
plain,30432.85722512523,69.0,72.0
merro,30432.85722512523,69.0,72.0
massimo,30432.85722512523,69.0,72.0
typebas,30432.85722512523,69.0,72.0
reflex,30432.85722512523,69.0,72.0
transact-program-languag,30432.85722512523,69.0,72.0
patrick,30432.85722512523,69.0,72.0
electron-note-theoret,30432.85722512523,69.0,72.0
publishsubscrib,30432.85722512523,69.0,72.0
secreci-group-creation,30422.54151282995,70.0,93.0
lazi-lambda-calculu,30422.54151282995,70.0,93.0
check-item,30339.70724786297,71.0,95.0
technic,30242.82239039777,72.0,96.0
express-power,29731.297199448065,73.0,97.0
