,Old_WScore,Position_Weight,SCScore,Words
7,11109.5,1.03952301283395,11548.580911078769,techniqu
6,11188.62258953168,0.3674981723112814,4111.798352333609,schedul
36,6587.311111111111,0.5054303934946671,3329.4272469606817,global
2,13537.301767676767,0.16482970112975737,2231.3494044694976,method
11,9585.185185185186,0.18925474873692716,1814.041813819139,code
4,12411.791831357048,0.1272817569542674,1579.7946712457494,condit
53,5802.305274971941,0.26284297380541977,1525.0951734004989,high-level-synthesi
21,7835.9708193041515,0.1921580314595938,1505.744727212306,gener
8,9683.641873278237,0.10011010006409364,969.4303569187315,repres
1,14918.723484848484,0.058519633419480466,873.0382294199275,approach
5,11715.389986824768,0.06128513836505566,717.9792963431436,control
18,8554.802371541504,0.08361678705074058,715.3250881623563,limit
0,14992.14393939394,0.04368004886328612,654.8575798381462,oper
184,3149.8724082934614,0.2,629.9744816586923,asic
12,9406.457300275482,0.06595282243310065,620.3824080496122,solut
94,4723.048748353096,0.11841038118410381,559.2580026435945,presenc
3,12950.7,0.03660367348392662,474.04319418828845,time
112,4470.2525252525265,0.10311370586599945,460.9443040356303,behavior-descript
49,6013.765480895916,0.0752104377104377,452.29793410610273,exploit-parallel
26,7178.116883116883,0.06032119075371177,432.9925577589325,heurist
29,7082.954545454545,0.0591804268007554,419.17227301035047,appli
54,5761.362718089991,0.07137531372981006,411.21907151490433,exist
19,8359.20202020202,0.04822994997619763,403.16389527527355,optim
186,3149.8724082934614,0.125,393.7340510366827,asip
34,6648.5,0.058849341784495364,391.2598488542174,construct
126,4269.832535885167,0.07309941520467836,312.12226139511455,choic
14,9126.002525252525,0.02971838211200868,271.2100302006107,code-motion-prune
69,5321.515151515152,0.049225387306346825,261.95364438992624,miss
22,7702.782369146006,0.03293051302200397,253.65657511282515,form
17,8555.130434782608,0.028720171604182075,245.70481418311732,support
13,9215.193755739208,0.026481292933389404,244.03024528367087,problem
185,3149.8724082934614,0.07692307692307693,242.2978775610355,obstacl
31,6983.957351290684,0.03250680910311099,227.0261684026749,present
63,5474.232323232323,0.040595063972703155,222.2268113630556,explor
67,5436.19416386083,0.038666678570530515,210.1995723810006,space
10,9593.039525691698,0.021898039691617292,210.06876029685034,result
39,6355.840909090911,0.03285632116188812,208.82955016295793,search
32,6908.732954545455,0.028440286553414653,196.4863449482918,section
30,7059.584940312215,0.027308726115771304,192.78827162601,resourc
28,7120.586776859504,0.027051709103662145,192.62404213498655,number
99,4663.393939393939,0.0411000608889791,191.665774858387,basic-block-boundari
84,4951.988980716254,0.0373432255785197,184.92324156923092,resourc-constrain
60,5617.284664830118,0.03195849479936466,179.5199627475242,optim-problem
24,7490.724637681158,0.022518342725841016,168.67870465620558,state
212,2832.5550239234444,0.058823529411764705,166.62088376020262,greedi
9,9623.131313131313,0.016518178186464092,158.9565977420452,path
108,4526.052525252526,0.034482758620689655,156.07077673284573,propos
118,4381.9461279461275,0.03525230166071979,154.47368676337993,optim-solut-search
145,3946.878787878788,0.03823953823953824,150.92682233591324,condit-execut
213,2832.5550239234444,0.05263157894736842,149.0818433643918,search-space
86,4931.416666666666,0.030154639175257732,148.70509020618556,altern
25,7184.70523415978,0.019729400144658002,141.74992448615706,formul
35,6631.466942148762,0.020762292158227405,137.68445409051952,larger-search-space
27,7130.096681096682,0.018047046042610572,128.67718309201666,reduct
