,Old_WScore,Position_Weight,SCScore,Words
139,51950.549165022996,1.5263088057702725,79292.58065517608,inlin-target-insert
40,71944.50769230767,0.1490186223157646,10721.071419493617,defin
485,38017.37401709402,0.25756310872789145,9791.873037513704,compil-pipelin-implement
5,80237.9032051282,0.11570426209445393,9283.867382355578,shown
143,51866.71253122945,0.17226758598149036,8934.953360550813,execut
159,50424.73704142011,0.15226153589166252,7677.747908859832,method
88,59130.55982905984,0.1150043549202938,6800.271889216865,correctli
483,38037.51111111111,0.17587987406203917,6690.032663855638,squash
32,73375.01142857142,0.0910736416994252,6682.529500536943,slot
179,49130.85288461538,0.13476385780275252,6621.06327187026,import-featur
72,62583.62193732192,0.10482923451786721,6560.593181045059,offer
833,19024.900512820514,0.33537414965986395,6380.45983185069,specif
408,43981.53333333333,0.11906899966985805,5236.837177946518,previou-studi
443,40894.76346153846,0.125,5111.845432692307,discov
773,22428.751794871798,0.209103715634869,4689.93533735993,method-delay-branch
39,72005.36273504274,0.06365719120352906,4583.659143304082,return
134,52309.74064431295,0.06691166553324278,3500.131870122944,branch
147,51567.34103879028,0.06663502390023204,3436.1910025912066,perform
13,76645.82769230768,0.039883855550043874,3056.931120193552,determin
146,51749.49028270874,0.05770417577159124,2986.161683363678,program
108,55952.317345399715,0.05293067114183506,2961.593709032946,interrupt-except
153,50836.37572649573,0.05710157863934984,2902.837306286031,result
162,50273.28291913215,0.05063508797554128,2545.5921034295334,processor
130,52652.07437212361,0.048322860597948485,2544.298850076945,instruct
8,78590.06433566434,0.032223477852020094,2532.445197509114,hardwar
106,55985.19219620959,0.039764799065689166,2226.2399183362636,hardwar-method
87,59421.96923076922,0.03622162895877228,2152.3605214765057,complex
298,45063.39064856713,0.0463382213020354,2088.1573684933765,program-counter
292,45190.00657462196,0.04602305025502617,2079.78194360879,contract
662,28181.917435897438,0.07142857142857142,2012.9941025641026,branch-insert-branch
238,46415.989480604876,0.042807560029403335,1986.955256015147,system
2,81404.41904761903,0.02371421469273756,1930.4418702328123,predict
291,45190.00657462196,0.04193341843217845,1894.9714546465182,nation-scienc-foundat
219,47210.98393162394,0.03914343513140156,1848.000087017163,space
217,47237.16376068376,0.03746798625358595,1769.8814024436876,comput
289,45190.00657462196,0.03641580903802882,1645.6306498487002,joint-servic-engin
266,45559.78856015778,0.03594462720170896,1637.629615183556,research
250,45976.84404996714,0.03545917380809021,1630.300904315243,illinoi
136,52068.12426035502,0.030656559131236175,1596.2295302401265,pipelin
18,76338.8879120879,0.02053706391253503,1567.7766200623971,address
216,47305.966495726505,0.03223727486133857,1525.0154445040089,support
67,64035.61305361304,0.023231775053626197,1487.6609578825874,delay-slot
299,45062.98487836949,0.03189618901910782,1437.3374834456706,introduct
462,39629.128205128196,0.03608714179183978,1430.101968625458,softwarehardwar
290,45190.00657462196,0.031464509728972405,1421.8814015195196,nasa
9,78217.39420289855,0.01789838336038163,1399.96490689357,effect
64,64597.445759368835,0.021631521483023476,1397.3410356922307,paper
105,56040.108173076915,0.02491876589142249,1396.4503360948956,memori
7,78756.42758620689,0.01728004570569929,1360.9146683072515,time
463,39629.128205128196,0.03370591157476403,1335.7358910670382,convent
182,48599.328525641016,0.027347417840375587,1329.0661439523892,branch-instruct-instruct
274,45354.94117647059,0.029212498007333013,1324.931128740353,instruct-fetch-memori
464,39629.128205128196,0.03263050399471376,1293.1184262044594,delay-branch-mechan
15,76595.32478632478,0.016839009941471042,1289.7894355471262,mcfarl-hennessi
76,61672.122256410265,0.019885913663264188,1226.4064986212484,sequenti
110,55930.40045248869,0.021762449055451567,1217.1824904982905,univers-illinoi
17,76380.61538461539,0.015892193864248113,1213.8555471628797,requir
44,70500.65551839465,0.017158633294904784,1209.6948950905391,instruct-execut
0,84787.59931623931,0.01417182557654731,1201.5950685639257,show
22,75187.68095238095,0.0156443078757626,1176.259229283659,section
517,35977.230769230766,0.032591359822481104,1172.5468734164385,instruct-sequenc-mechan
27,74264.04395604397,0.015724510994532162,1167.7657756852332,handl
149,51104.87289940829,0.022593719029746776,1154.6491393401514,code
214,47443.58261669954,0.023180797243466975,1099.7800691413863,softwar
185,48490.70895463512,0.022586764422753893,1095.2482198506661,branch-target-buffer
6,79344.65217391304,0.013195356925798764,1046.9810055881374,figur
80,61260.53212669684,0.016836227427217704,1031.3962511974446,fill
454,40058.237179487165,0.02564102564102564,1027.134286653517,absenc
248,46161.606153846165,0.02199695644218116,1015.414839867276,chang
56,67176.17723076924,0.014940649128856667,1003.6556938228135,present
26,74366.82028985508,0.013439805242149301,999.4755811735694,cycl
155,50694.534700854696,0.019619497310782195,994.6012872347734,compil
457,40058.237179487165,0.024390243902439025,977.0301751094431,sequenc-mechan
456,40058.237179487165,0.023809523809523808,953.7675518925515,request
455,40058.237179487165,0.023255813953488372,931.5869111508642,sequenti-instruct-linear
99,57177.29654403567,0.01620826355136329,926.7446915401836,branch-direct
436,41616.273076923084,0.02224666911135558,925.8234567901237,depart
294,45190.00657462196,0.020345781466113416,919.4259982194869,grant
434,41616.273076923084,0.021999043519846963,915.5182025530664,electr
4,80381.50329670329,0.011274295022840875,906.2447825464893,fetch
432,41616.273076923084,0.02152014652014652,895.5882942378136,engin
435,41616.273076923084,0.021061869240895127,876.5165018395384,urbana
285,45190.00657462196,0.01921334767165249,868.2513076024736,hoevel
12,76864.57790927023,0.011285128770774783,867.4266596173652,report
433,41616.273076923084,0.020840047266086584,867.2850979614436,champaign
52,68798.81739130434,0.012194447017090512,838.9635335167461,correct
79,61510.70903010032,0.013593019087236912,836.1162419156295,stage
160,50413.493228139385,0.01622259073392517,817.8374681076133,gener
168,49880.21165023011,0.015831809740099886,789.6940206423568,algorithm
288,45190.00657462196,0.01701125660464048,768.7387978062845,nation
10,77824.2547008547,0.00973458027530984,757.5864547516293,scratch
297,45190.00657462196,0.01673791385960256,756.3864373608957,aeronaut
154,50781.722408026755,0.014621071906960081,742.4832148870453,adopt
30,73783.1386946387,0.010009749525896956,738.5507375678492,issu
287,45190.00657462196,0.016217249952189712,732.8576319617408,administr
19,76010.688,0.00940002847560029,714.5026316499692,tabl
58,66832.9746606335,0.010604052616750006,708.7003798352774,processor-pipelin
118,54014.38573021182,0.013030301497026192,703.8237312413293,call
96,57601.463141025655,0.012191257951177105,702.2342955174639,propos
