,Old_WScore,Position_Weight,SCScore,Words
0,390365.71759030456,0.05649800863467708,390365.72312461515,algorithm
1,377261.64749356406,0.030312994132018316,377261.65046289924,comput
2,364379.7395750247,0.09089294356288125,364379.7484785205,point
3,357124.3273731596,0.02038549557050479,357124.3293700382,matric
4,328385.91391081136,0.05625177939933024,328385.9194210024,bifurc
5,324167.0031957012,0.018474733683207775,324167.00500540953,determin
6,317563.6351813285,0.021006715394842848,317563.63723905926,evalu
7,317285.7158446601,0.01534124332405727,317285.7173474247,polynomi
8,314357.1048482647,0.022104553996832223,314357.10701353516,numer
9,298605.5196590815,0.014047978961242057,298605.52103516326,condit
10,296586.34515899,0.07256923882866577,296586.35226757167,method
11,295373.05620453105,0.0013876491690191191,295373.0563404594,hopf
12,289794.8856018101,0.02089079764354014,289794.887648186,eigenvalu
13,286742.7956830859,0.00839237938693558,286742.7965051686,analysi
14,276692.9034782262,0.007040003353003174,276692.9041678358,bifurc-point
15,268769.0282728745,0.019492183116707792,268769.0301822479,gener
16,259061.32242929906,0.011676885010236048,259061.32357311828,develop
17,255905.6817781273,0.006848495720168761,255905.68244897755,dynam-system
18,253140.5817194609,0.0008683892011497631,253140.5818045247,part
19,252646.77306443825,0.4346152011563074,252646.81563754095,problem
20,252042.1389233171,0.0035118247218391646,252042.1392673209,comput-hopf-bifurc
23,251726.8608796971,0.0008811180892147577,251726.86096600778,journal-comput-appli
21,251726.8608796971,0.0008771353141251657,251726.86096561764,siam-journal
25,251726.8608796971,0.0008742305367695291,251726.8609653331,mathemat-comput
22,251726.8608796971,0.0008730245509819288,251726.86096521496,numer-detect-hopf
24,251726.8608796971,0.0008684324793747286,251726.86096476516,intern-seri-numer
26,248706.11057896412,0.026413650601682614,248706.1131663358,calcul
27,245704.7413471281,0.00828210899069451,245704.74215840915,small
28,241208.72942248505,0.03125233255350195,241208.73248383394,requir
29,239069.4859083441,0.014571427561002492,239069.48733570072,direct-method
30,238187.79286349512,0.011657155216849012,238187.7940053817,root
31,237223.8056404016,0.040808049277908744,237223.8096377889,paramet
32,235316.3518887949,0.00305584798497792,235316.35218813308,degener
