255000.csv,571159.csv,261851.csv,1029352.csv,286977.csv,305097.csv,298560.csv,264559.csv,586145.csv,262521.csv,587964.csv,626956.csv,316485.csv,1016179.csv,544923.csv,502544.csv,593313.csv,588626.csv,597100.csv,347551.csv,176718.csv,155220.csv,373294.csv,351545.csv,635238.csv,271804.csv,564412.csv,1035804.csv,330368.csv,587257.csv,586907.csv,505522.csv,587812.csv,603086.csv,364001.csv,607624.csv,591512.csv,289843.csv,284973.csv,500505.csv,308845.csv,224498.csv,629048.csv,587740.csv,587787.csv,241662.csv,290124.csv,296379.csv,604189.csv,599486.csv,1010995.csv,1008415.csv,595043.csv,352664.csv,192334.csv,224525.csv,586129.csv,599674.csv,195891.csv,587883.csv,272132.csv,1024923.csv,297106.csv,598174.csv,254287.csv,1011932.csv,545249.csv,151529.csv,245610.csv,586956.csv,330384.csv,1022634.csv,569859.csv,585500.csv,351138.csv,300125.csv,593316.csv,331273.csv,1036463.csv,626961.csv,614306.csv,1040306.csv,614347.csv,591458.csv,504535.csv,263443.csv,206000.csv,383198.csv,258231.csv,629452.csv,544819.csv,568342.csv,225071.csv,601779.csv,257725.csv,244582.csv,1037287.csv,564104.csv,177759.csv,588569.csv,594258.csv,1024022.csv,608786.csv,599662.csv,282725.csv,589256.csv,312215.csv,343587.csv,142824.csv,596250.csv,594334.csv,224494.csv,349155.csv,587742.csv,206026.csv,285191.csv,310690.csv,270948.csv,586901.csv,614361.csv,628030.csv,264266.csv,629361.csv,504566.csv,263449.csv,597056.csv,369220.csv,594830.csv,300255.csv,593311.csv,1035549.csv,345772.csv,609461.csv,604198.csv,587001.csv,273702.csv,354878.csv,261998.csv,292377.csv,591464.csv,567199.csv,598422.csv,589159.csv,312552.csv,205848.csv,510800.csv,590817.csv,587583.csv,581499.csv,629444.csv,581774.csv,300896.csv,592983.csv,325396.csv,358684.csv,337358.csv,628731.csv,255883.csv,586857.csv,587814.csv,608747.csv,588515.csv,181336.csv,276487.csv,319435.csv,325700.csv,589234.csv,378636.csv,192795.csv,502111.csv,251709.csv,290287.csv,589182.csv,606895.csv,587528.csv,502567.csv,152393.csv,306259.csv,591532.csv,307967.csv,599694.csv,587829.csv,305664.csv,350571.csv,314063.csv,590960.csv,279154.csv,629409.csv
255000.csv,614396.csv,296420.csv,261851.csv,608456.csv,286977.csv,373623.csv,510987.csv,584517.csv,1013562.csv,626956.csv,1016179.csv,307963.csv,588626.csv,331525.csv,339353.csv,192216.csv,511488.csv,629334.csv,351545.csv,635238.csv,288866.csv,630534.csv,1035804.csv,627797.csv,514234.csv,587812.csv,606070.csv,566247.csv,289843.csv,500505.csv,308845.csv,587740.csv,501469.csv,312456.csv,587787.csv,628823.csv,587495.csv,599486.csv,1008415.csv,595043.csv,352664.csv,192334.csv,586129.csv,599674.csv,633558.csv,588924.csv,587883.csv,309503.csv,276469.csv,254287.csv,245610.csv,586956.csv,1022634.csv,264407.csv,603408.csv,502529.csv,593316.csv,225122.csv,331273.csv,1036463.csv,325884.csv,594780.csv,206000.csv,266808.csv,596220.csv,627095.csv,298690.csv,608356.csv,333469.csv,306216.csv,601779.csv,253592.csv,244582.csv,1028478.csv,177759.csv,588569.csv,589079.csv,604075.csv,248242.csv,1007540.csv,1017463.csv,1024022.csv,608786.csv,599662.csv,282725.csv,589256.csv,312215.csv,343587.csv,596250.csv,594334.csv,571163.csv,595997.csv,333131.csv,288321.csv,270948.csv,586901.csv,614361.csv,250897.csv,263449.csv,262588.csv,369220.csv,300255.csv,593444.csv,586837.csv,593311.csv,1035549.csv,345772.csv,1009192.csv,249830.csv,586923.csv,587001.csv,273702.csv,261998.csv,292377.csv,570818.csv,589754.csv,591464.csv,567199.csv,224350.csv,598422.csv,589159.csv,312552.csv,587939.csv,205848.csv,581499.csv,176522.csv,509603.csv,1039913.csv,325958.csv,300896.csv,587895.csv,325396.csv,635468.csv,599667.csv,358684.csv,593360.csv,628687.csv,586857.csv,266472.csv,588515.csv,181336.csv,284954.csv,350130.csv,589234.csv,596347.csv,287639.csv,627899.csv,502111.csv,251709.csv,604155.csv,589182.csv,606895.csv,587528.csv,306259.csv,344985.csv,591532.csv,190767.csv,586924.csv,316287.csv,292856.csv,594792.csv,593449.csv,599694.csv,587829.csv,305664.csv,350571.csv,314063.csv,242941.csv,629409.csv,,,,,,,,,,,,,,,,,,
255000.csv,296420.csv,635471.csv,351545.csv,256195.csv,289843.csv,587495.csv,352664.csv,272132.csv,287640.csv,276469.csv,1011932.csv,334342.csv,257725.csv,588569.csv,250897.csv,273702.csv,205848.csv,587583.csv,325958.csv,588515.csv,587829.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,372085.csv,545249.csv,225122.csv,266808.csv,338870.csv,224494.csv,288321.csv,224491.csv,590834.csv,506198.csv,350130.csv,251709.csv,306259.csv,344985.csv,594792.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,271426.csv,373623.csv,264559.csv,584517.csv,588626.csv,155274.csv,192216.csv,373294.csv,365735.csv,268898.csv,364001.csv,606070.csv,372085.csv,607624.csv,269004.csv,591512.csv,289843.csv,290382.csv,224498.csv,587740.csv,312456.csv,628823.csv,587495.csv,604189.csv,1010995.csv,352664.csv,360091.csv,586129.csv,599674.csv,588924.csv,336662.csv,287640.csv,214309.csv,377018.csv,245610.csv,607896.csv,330384.csv,502529.csv,593316.csv,594780.csv,614347.csv,586450.csv,369880.csv,258231.csv,506906.csv,544819.csv,333469.csv,253592.csv,1037287.csv,564104.csv,177759.csv,338870.csv,604075.csv,248242.csv,608786.csv,628007.csv,596250.csv,224494.csv,571163.csv,595997.csv,349155.csv,587742.csv,206026.csv,614361.csv,250897.csv,263449.csv,262588.csv,593444.csv,593311.csv,591464.csv,224350.csv,592979.csv,312552.csv,510800.csv,590817.csv,581499.csv,319335.csv,635468.csv,590834.csv,506198.csv,628731.csv,593360.csv,181336.csv,319435.csv,596347.csv,627899.csv,251709.csv,604155.csv,502567.csv,306259.csv,305664.csv,628121.csv,314063.csv,242941.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,599532.csv,286977.csv,305097.csv,264559.csv,587964.csv,192216.csv,288866.csv,606859.csv,360091.csv,224525.csv,377018.csv,369880.csv,298690.csv,1028478.csv,588569.csv,589256.csv,285191.csv,250897.csv,504566.csv,263449.csv,593444.csv,570818.csv,589159.csv,590817.csv,122744.csv,509603.csv,325958.csv,599667.csv,628687.csv,589234.csv,596347.csv,378636.csv,290287.csv,589182.csv,606895.csv,309690.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,571159.csv,586762.csv,339353.csv,320322.csv,312456.csv,599674.csv,195891.csv,594334.csv,595997.csv,599552.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,593316.csv,626961.csv,589182.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255000.csv,271426.csv,614396.csv,296420.csv,608456.csv,286977.csv,373623.csv,264559.csv,584517.csv,586145.csv,262521.csv,587964.csv,502544.csv,256165.csv,588626.csv,188246.csv,155220.csv,339353.csv,365735.csv,511488.csv,346037.csv,635238.csv,630534.csv,587257.csv,587812.csv,364001.csv,631174.csv,269004.csv,289843.csv,629048.csv,312456.csv,587787.csv,224876.csv,296379.csv,599486.csv,595043.csv,352664.csv,360091.csv,588924.csv,336662.csv,587883.csv,309503.csv,272132.csv,287640.csv,276469.csv,297106.csv,1011932.csv,377018.csv,607896.csv,627126.csv,603408.csv,300125.csv,593316.csv,225122.csv,1036463.csv,325884.csv,594780.csv,352648.csv,369880.csv,596220.csv,258231.csv,334342.csv,629452.csv,333469.csv,257725.csv,253592.csv,1037287.csv,338870.csv,248242.csv,599662.csv,589256.csv,343587.csv,594334.csv,571163.csv,379528.csv,333131.csv,288321.csv,270948.csv,250897.csv,504566.csv,262588.csv,594016.csv,594830.csv,586837.csv,273702.csv,354878.csv,292377.csv,589159.csv,312552.csv,205848.csv,590817.csv,122744.csv,635468.csv,599667.csv,255883.csv,593360.csv,628687.csv,587814.csv,266472.csv,588515.csv,319435.csv,589234.csv,596347.csv,287639.csv,603891.csv,251709.csv,290287.csv,606895.csv,587528.csv,502567.csv,306259.csv,344985.csv,594792.csv,266802.csv,593449.csv,599694.csv,305664.csv,314063.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
